st_case,veh_no,per_no,person_type,inj_sev,seat_pos,rest_use,air_bag,ejection,doa,make,car_year,model,body_class,min_veh_weight,max_veh_weight,fatal,num_occupants,deaths_in_vehicle,vehicle_age,fatals_crash,persons_total,HARM_EV,manner_collision,hour,ems_arrival_hour,drive_type_id,drive_train,overall_front_safetyrating,front_passenger_safetyrating,front_driver_safetyrating,rollover_risk,curb_weight,car_height,car_width,car_length
10344,1,1,1,4,11,20,20,1,0,CHRYSLER,2001,TOWN AND COUNTRY,Minivan,11,11,1,1,1,22,1,1,34,0,18,19,1,FWD,NA,4,4,0,1910,1735,2007,5085
10353,1,1,1,0,11,NA,20,0,0,BMW,2005,X5,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,1,0,18,1,1,9,0,22,22,NA,NA,NA,5,5,0,2100,1707,1872,4667
10354,1,1,1,4,11,NA,NA,0,7,NISSAN,2015,ALTIMA,Sedan/Saloon,11,11,1,NA,NA,NA,1,1,25,0,3,3,1,FWD,5,4,5,0.103,1450,1471,1831,4864
10357,1,1,1,4,11,20,NA,0,7,FORD,2010,EDGE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,1,1,13,1,3,12,6,23,23,3,AWD,NA,4,5,0.14,1916,1721,1923,4719
10363,1,1,1,4,11,3,20,0,0,BUICK,1999,LESABRE,Sedan/Saloon,11,11,1,NA,NA,NA,1,3,12,6,12,13,NA,NA,NA,4,4,0,1618,1425,1867,5080
10363,1,2,2,0,13,3,1,0,0,BUICK,1999,LESABRE,Sedan/Saloon,11,11,0,NA,NA,NA,1,3,12,6,12,13,NA,NA,NA,4,4,0,1618,1425,1867,5080
10366,1,1,1,4,11,20,NA,1,NA,ACURA,1997,TL,Sedan/Saloon,11,11,1,1,1,26,1,5,12,1,20,21,NA,NA,NA,4,4,0,1514,1410,1786,4831
10369,1,1,1,3,11,20,1,0,0,HONDA,2001,ACCORD,Sedan/Saloon,11,11,0,2,0,22,1,3,12,6,12,12,NA,NA,NA,4.5,5,0,1340,1410,1750,4785
10369,1,2,2,1,22,10,20,0,0,HONDA,2001,ACCORD,Sedan/Saloon,11,11,0,2,0,22,1,3,12,6,12,12,NA,NA,NA,4.5,5,0,1340,1410,1750,4785
10371,1,1,1,4,11,20,20,0,7,DODGE,1993,DAKOTA,Pickup,11,11,1,1,1,30,1,1,42,0,10,NA,NA,NA,NA,3,3,0,1483,1595,1745,4880
10374,1,1,1,4,11,20,20,1,7,GMC,2005,ENVOY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),11,11,1,1,1,18,1,1,42,0,16,16,NA,NA,NA,4,3,0.191,2026,1862,1897,4867
10375,1,1,1,4,11,20,1,1,0,BUICK,2003,CENTURY,Sedan/Saloon,11,11,1,NA,NA,NA,1,1,34,0,9,9,NA,NA,NA,3,4,0,1518,1433,1852,4940
10385,1,1,1,4,11,20,NA,0,0,DODGE,2012,CALIBER,Hatchback/Liftback/Notchback,11,11,1,2,2,11,2,4,12,6,14,14,1,FWD,4,4,4,0.155,1415,1535,1795,4415
10385,1,2,2,4,13,20,NA,0,0,DODGE,2012,CALIBER,Hatchback/Liftback/Notchback,11,11,1,2,2,11,2,4,12,6,14,14,1,FWD,4,4,4,0.155,1415,1535,1795,4415
10386,2,1,1,2,11,3,NA,0,0,NISSAN,2015,ALTIMA,Sedan/Saloon,11,11,0,NA,NA,NA,2,9,12,1,16,16,1,FWD,5,4,5,0.103,1450,1471,1831,4864
10386,2,2,2,2,13,3,NA,0,0,NISSAN,2015,ALTIMA,Sedan/Saloon,11,11,0,NA,NA,NA,2,9,12,1,16,16,1,FWD,5,4,5,0.103,1450,1471,1831,4864
10386,2,3,2,4,21,20,3,0,7,NISSAN,2015,ALTIMA,Sedan/Saloon,11,11,1,NA,NA,NA,2,9,12,1,16,16,1,FWD,5,4,5,0.103,1450,1471,1831,4864
10386,2,4,2,4,23,20,3,0,0,NISSAN,2015,ALTIMA,Sedan/Saloon,11,11,1,NA,NA,NA,2,9,12,1,16,16,1,FWD,5,4,5,0.103,1450,1471,1831,4864
10386,4,1,1,0,11,3,20,0,0,FORD,2019,EXPEDITION,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12,0,3,0,4,2,9,12,1,16,16,7,RWD,5,5,5,0.208,2435,1935,2029,5334
